index_date,index_place,index_product,index_value,base_volume,base_amount,base_trades
2018-02-06,EVR,TRD,40786.0,2165,88303205,18
2018-02-06,SIB,DTL,40185.0,1315,52844465,13
2018-02-06,SIB,DTM,0.0,0,0,0
2018-02-06,SIB,DTZ,44088.0,6370,280845175,62
2018-02-06,SIB,MZT,10568.0,2535,26789880,21
2018-02-06,SIB,PRM,39374.0,2520,99222540,35
2018-02-06,SIB,REG,38948.0,5225,203503960,59
2018-02-06,SIB,SUG,16639.0,1418,23594850,29
2018-02-06,SIB,TRD,41424.0,2075,85956250,25
2018-02-07,DAL,DTL,0.0,0,0,0
2018-02-07,DAL,DTM,0.0,0,0,0
2018-02-07,DAL,DTZ,45607.0,3835,174903625,47
2018-02-07,DAL,MZT,10967.0,2600,28515630,16
2018-02-07,DAL,PRM,40645.0,1080,43897140,12
